test,type,ID,Title,Conditions,Age,All Conditions?,Tags,DIY Type,Issue,Service Type,Treatment Category,Published,Link
,diy,238,Tips on Journaling and Feelings Guide,,"Under 11, 11-17, 18+",x,,Other,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,draft,tips-journaling-and-feelings-guide
,treatment,309,Treating Internet Addiction,Addiction,"Under 11, 11-17, 18+",,,,,,"Therapy, Online",publish,treating-internet-addiction
,treatment,191,Tricyclic Antidepressants (TCAs),"ADHD, Anxiety, Depression","Under 11, 11-17, 18+",,,,,,Medical,publish,tricyclic-antidepressants-tcas
,condition,268,Types of intrusive thoughts,,"Under 11, 11-17, 18+",x,,,,,,publish,types-intrusive-thoughts
,treatment,304,Types of Therapy,,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,types-therapy
,treatment,260,Valerian,"Anxiety, Depression","Under 11, 11-17, 18+",,,,,,Alternative Medicine,publish,valerian
,provider,326,Veterans Crisis Line,,18+,x,Crisis,,,Online,,publish,veterans-crisis-line
,provider,450,Warmline Phone Calls,,"11-17, 18+",x,Crisis,,,"Community Support, Online, Peer-Run",,publish,warmline-phone-calls
,treatment,371,What are Injectable Mental Health Drugs?,"Bipolar, Psychosis","Under 11, 11-17, 18+",,,,,,"Medical, Treatment Resistance",publish,what-are-injectable-mental-health-drugs
,condition,215,What are panic attacks?,"Anxiety, PTSD","Under 11, 11-17, 18+",,,,,,,publish,what-are-panic-attacks
,condition,378,What are the best apps for anxiety?,"Anxiety, PTSD","Under 11, 11-17, 18+",,Youth,,,,,publish,what-are-best-apps-anxiety
,condition,354,What are the best apps for depression?,"Depression, Bipolar, Postpartum Depression","Under 11, 11-17, 18+",,Youth,,,,,publish,what-are-best-apps-depression
,treatment,540,What are the side-effects of antipsychotic meds?,"Anxiety, Bipolar, Depression, Eating Disorder, Psychosis, Addiction, Tardive Dyskinesia, PTSD","Under 11, 11-17, 18+",,,,,,Medical,publish,what-are-side-effects-antipsychotic-meds
,condition,291,What are the symptoms of PTSD?,"Anxiety, PTSD, Trauma","Under 11, 11-17, 18+",,,,,,,publish,what-are-symptoms-ptsd
,treatment,575,What can I do about treatment-resistant depression (TRD)?,"Bipolar, Depression, Postpartum Depression","Under 11, 11-17, 18+",,,,,,"Medical, Treatment Resistance",publish,what-can-i-do-about-treatment-resistant-depression-trd
,condition,295,What can I do to recover from PTSD on my own?,"PTSD, Trauma","Under 11, 11-17, 18+",,,,,,,publish,what-can-i-do-recover-ptsd-my-own
,treatment,457,What can keeping a journal do for my mental health?,,"Under 11, 11-17, 18+",x,,,,,Lifestyle Changes,publish,what-can-keeping-journal-do-my-mental-health
,condition,592,What causes anxiety?,"Anxiety, Trauma, OCD","Under 11, 11-17, 18+",,,,,,,publish,what-causes-anxiety
,condition,411,What causes bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,what-causes-bipolar
,condition,394,What causes depression?,"Depression, Postpartum Depression","Under 11, 11-17, 18+",,,,,,,publish,what-causes-depression
,condition,412,What causes mental illness?,,"Under 11, 11-17, 18+",x,,,,,,publish,what-causes-mental-illness
,diy,370,What does mental illness feel like?,,"Under 11, 11-17, 18+",x,,"Website, Other","Anger, Confidence, Fear, Life & Trauma, Sadness, The Brain",,,publish,what-does-mental-illness-feel
,treatment,628,What happens if I call the Suicide Prevention Lifeline?,Suicide,"Under 11, 11-17, 18+",,Crisis,,,,"Social Support, Online",publish,what-happens-if-i-call-suicide-prevention-lifeline
,treatment,302,What is a psychiatric advance directive (PAD)?,"Bipolar, Psychosis, Addiction","Under 11, 11-17, 18+",x,Crisis,,,,"Social Support, Medical",publish,what-psychiatric-advance-directive-pad
,condition,624,What is abuse?,"PTSD, Relationships, Trauma","Under 11, 11-17, 18+",,Youth,,,,,publish,what-abuse
,condition,281,What is addiction?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,what-addiction
,condition,210,What is an eating disorder?,Eating Disorder,"Under 11, 11-17, 18+",,Youth,,,,,publish,what-eating-disorder
,condition,226,What is anxiety?,"Anxiety, Depression, PTSD, Addiction, Trauma","Under 11, 11-17, 18+",,Youth,,,,,publish,what-anxiety
,condition,137,What is bipolar?,"Bipolar, Psychosis, Depression, Self-Harm","Under 11, 11-17, 18+",,,,,,,publish,what-bipolar
,condition,293,What is Complex PTSD?,"ADHD, Anxiety, Bipolar, Borderline, Depression, Eating Disorder, PTSD, Addiction, Trauma, Relationships","Under 11, 11-17, 18+",x,Youth,,,,,publish,what-complex-ptsd
,condition,162,What is depression?,"Bipolar, Depression, Addiction, Anxiety, Trauma, PTSD, Self-Harm","Under 11, 11-17, 18+",,Youth,,,,,publish,what-depression
,condition,385,What is going to happen to me?,,"Under 11, 11-17, 18+",x,,,,,,publish,what-going-happen-me
,condition,427,What is hypomania?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,what-hypomania
,condition,164,What is mania?,"Bipolar, Psychosis","Under 11, 11-17, 18+",,,,,,,publish,what-mania
,condition,227,What is mental illness? (A sciency article),,"Under 11, 11-17, 18+",x,,,,,,publish,what-mental-illness-sciency-article
,condition,564,What is postpartum depression (PPD)?,"Depression, Postpartum Depression","Under 11, 11-17, 18+",,,,,,,publish,what-postpartum-depression-ppd
,condition,290,What is posttraumatic stress disorder (PTSD)?,"Anxiety, PTSD, Trauma","Under 11, 11-17, 18+",,,,,,,publish,what-posttraumatic-stress-disorder-ptsd
,condition,214,What is psychosis?,"Psychosis, Bipolar","Under 11, 11-17, 18+",,,,,,,publish,what-psychosis
,condition,528,What is tardive dyskinesia?,Tardive Dyskinesia,"Under 11, 11-17, 18+",,,,,,,publish,what-tardive-dyskinesia
,condition,596,What is trauma?,"Anxiety, Depression, Psychosis, PTSD, Addiction, Trauma, Relationships, Abuse","Under 11, 11-17, 18+",x,Youth,,,,,publish,what-trauma
,treatment,414,What meds treat bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,Medical,publish,what-meds-treat-bipolar
,treatment,573,What meds treat depression?,"Depression, Postpartum Depression","Under 11, 11-17, 18+",,,,,,Medical,publish,what-meds-treat-depression
,condition,526,What mental health accommodations can I ask for at work?,,"Under 11, 11-17, 18+",,Workplace,,,,,publish,what-mental-health-accommodations-can-i-ask-work
,condition,477,What mental illness do I have?,,"Under 11, 11-17, 18+",x,,,,,,publish,what-mental-illness-do-i-have
,treatment,380,What should I look for in a mental health app?,,"Under 11, 11-17, 18+",x,,,,,"Online, Lifestyle Changes",publish,what-should-i-look-mental-health-app
,treatment,516,What should I look for in a therapist?,,"Under 11, 11-17, 18+",x,,,,,Therapy,publish,what-should-i-look-therapist
,condition,397,What to do when they don't want help,,"Under 11, 11-17, 18+",x,Caregiver,,,,,publish,what-do-when-they-dont-want-help
,condition,216,What's the difference between anxiety and being stressed?,Anxiety,"Under 11, 11-17, 18+",,Youth,,,,,publish,whats-difference-between-anxiety-and-being-stressed
,condition,228,What's the difference between depression and being sad?,Depression,"Under 11, 11-17, 18+",,Youth,,,,,publish,whats-difference-between-depression-and-being-sad
,condition,213,Where can I find people like me?,,"Under 11, 11-17, 18+",x,,,,,,publish,where-can-i-find-people-me
,diy,316,Where To Get Help,,"Under 11, 11-17, 18+",x,,"Document, Other","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,publish,where-get-help
,condition,292,Who can get PTSD?,"Anxiety, PTSD, Trauma","Under 11, 11-17, 18+",,Youth,,,,,publish,who-can-get-ptsd
,condition,132,Who can I talk to about my anxiety?,"Anxiety, PTSD","Under 11, 11-17, 18+",,,,,,,publish,who-can-i-talk-about-my-anxiety
,condition,139,Who can I talk to about my bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,who-can-i-talk-about-my-bipolar
,condition,154,Who can I talk to about my depression?,Depression,"Under 11, 11-17, 18+",,,,,,,publish,who-can-i-talk-about-my-depression
,condition,436,Who can I talk to about my mental illness?,,"Under 11, 11-17, 18+",x,Youth,,,,,publish,who-can-i-talk-about-my-mental-illness
,condition,160,Who can I talk to about my psychosis?,Psychosis,"Under 11, 11-17, 18+",,,,,,,publish,who-can-i-talk-about-my-psychosis
,diy,497,Who makes mental health decisions for me if I canâ€™t?,"Bipolar, Psychosis, Addiction","11-17, 18+",x,Crisis,Other,Legal,,,publish,who-makes-mental-health-decisions-me-if-i-cant
,condition,314,Why can't I stop drinking after three beers?,Addiction,"Under 11, 11-17, 18+",,,,,,,publish,why-cant-i-stop-drinking-after-three-beers
,diy,183,Why do I drink or use drugs?,"Anxiety, Bipolar, Borderline, Depression, Trauma, Addiction, Self-Harm","11-17, 18+",,,Other,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness",,,publish,why-do-i-drink-or-use-drugs
,condition,424,Why do I have a mental illness?,,"Under 11, 11-17, 18+",x,,,,,,publish,why-do-i-have-mental-illness
,condition,404,Why do I have bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,why-do-i-have-bipolar
,condition,230,Why is it so hard to recover from an eating disorder?,Eating Disorder,"Under 11, 11-17, 18+",,,,,,,publish,why-it-so-hard-recover-eating-disorder
,condition,387,Will depression come back?,"Bipolar, Depression","Under 11, 11-17, 18+",,,,,,,publish,will-depression-come-back
,condition,313,Will I always have anxiety?,Anxiety,"Under 11, 11-17, 18+",,,,,,,publish,will-i-always-have-anxiety
,condition,207,Will I always have bipolar?,Bipolar,"Under 11, 11-17, 18+",,,,,,,publish,will-i-always-have-bipolar
,condition,479,Will talking about someone's delusions make them sicker?,Psychosis,"Under 11, 11-17, 18+",,Caregiver,,,,,publish,will-talking-about-someones-delusions-make-them-sicker
,diy,583,Work on your negative thoughts,"Anxiety, Bipolar, Depression, Psychosis","11-17, 18+",x,,"Website, Mobile App","Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Stress",,,draft,work-your-negative-thoughts
,diy,543,Wysa,,"11-17, 18+",x,,Mobile App,"Anger, Changing Thoughts, Confidence, Fear, Life & Trauma, Sadness, Sleep, Stress, The Brain",,,publish,wysa
,diy,368,Youth Mental Health Facts,,"Under 11, 11-17, 18+",,"Parent, Youth",Other,"Confidence, Life & Trauma, The Brain",,,publish,youth-mental-health-facts
